129.00	249.39	496.80
1379.00	246.87	468.63
1541.00	241.29	518.93
1838.00	244.48	506.03
2916.00	244.59	456.47
3410.00	243.18	514.38
3555.00	249.30	571.48
3603.00	247.27	466.08
3822.00	238.77	503.58
4101.00	238.08	481.92
4148.00	248.85	485.07
4284.00	248.59	447.42
4350.00	247.28	461.47
4557.00	247.33	472.26
4860.00	241.46	497.51
5105.00	245.98	551.67
5692.00	243.34	523.18
6291.00	240.59	538.24
6524.00	246.04	506.41
7139.00	245.06	551.41
8096.00	248.61	504.23
8302.00	232.64	437.79
8687.00	248.77	561.96
8827.00	245.61	548.81
8985.00	249.81	494.37
9087.00	247.12	498.06
9223.00	248.42	492.44
9431.00	248.47	509.43
9911.00	244.13	508.62
